,sheet,row_id,code,pathogen,activity,item,item_value,timestamp
798,1-6,16,I76NS_240P1,Candida albicans ATCC 90028 = CCM 8161,MICb,3,-,2025-12-20_22:00:59
799,1-6,16,I76NS_240P1,Candida albicans ATCC 90028 = CCM 8161,gentamicin,1,-,2025-12-20_22:00:59
800,1-6,1,I76NS_241P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MIC,1,>128,2025-12-20_22:00:59
801,1-6,1,I76NS_241P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MIC,2,>128,2025-12-20_22:00:59
802,1-6,1,I76NS_241P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MIC,3,>128,2025-12-20_22:00:59
803,1-6,1,I76NS_241P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MBC,1,>128,2025-12-20_22:00:59
804,1-6,1,I76NS_241P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MBC,2,>128,2025-12-20_22:00:59
805,1-6,1,I76NS_241P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MBC,3,>128,2025-12-20_22:00:59
806,1-6,1,I76NS_241P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MICb,1,>128,2025-12-20_22:00:59
807,1-6,1,I76NS_241P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MICb,2,>128,2025-12-20_22:00:59
808,1-6,1,I76NS_241P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MICb,3,>128,2025-12-20_22:00:59
809,1-6,1,I76NS_241P1,Staphylococcus aureus ATCC 29213 = CCM 4223,gentamicin,1,0.5,2025-12-20_22:00:59
810,1-6,2,I76NS_241P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MIC,1,>128,2025-12-20_22:00:59
811,1-6,2,I76NS_241P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MIC,2,>128,2025-12-20_22:00:59
812,1-6,2,I76NS_241P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MIC,3,>128,2025-12-20_22:00:59
813,1-6,2,I76NS_241P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MBC,1,>128,2025-12-20_22:00:59
814,1-6,2,I76NS_241P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MBC,2,>128,2025-12-20_22:00:59
815,1-6,2,I76NS_241P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MBC,3,>128,2025-12-20_22:00:59
816,1-6,2,I76NS_241P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MICb,1,>128,2025-12-20_22:00:59
817,1-6,2,I76NS_241P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MICb,2,>128,2025-12-20_22:00:59
818,1-6,2,I76NS_241P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MICb,3,>128,2025-12-20_22:00:59
819,1-6,2,I76NS_241P1,Enterococcus faecalis ATCC 29212 = CCM 4224,gentamicin,1,1,2025-12-20_22:00:59
820,1-6,3,I76NS_241P1,Escherichia coli ATCC 25922 = CCM 3954,MIC,1,>128,2025-12-20_22:00:59
821,1-6,3,I76NS_241P1,Escherichia coli ATCC 25922 = CCM 3954,MIC,2,>128,2025-12-20_22:00:59
822,1-6,3,I76NS_241P1,Escherichia coli ATCC 25922 = CCM 3954,MIC,3,>128,2025-12-20_22:00:59
823,1-6,3,I76NS_241P1,Escherichia coli ATCC 25922 = CCM 3954,MBC,1,>128,2025-12-20_22:00:59
824,1-6,3,I76NS_241P1,Escherichia coli ATCC 25922 = CCM 3954,MBC,2,>128,2025-12-20_22:00:59
825,1-6,3,I76NS_241P1,Escherichia coli ATCC 25922 = CCM 3954,MBC,3,>128,2025-12-20_22:00:59
826,1-6,3,I76NS_241P1,Escherichia coli ATCC 25922 = CCM 3954,MICb,1,>128,2025-12-20_22:00:59
827,1-6,3,I76NS_241P1,Escherichia coli ATCC 25922 = CCM 3954,MICb,2,>128,2025-12-20_22:00:59
828,1-6,3,I76NS_241P1,Escherichia coli ATCC 25922 = CCM 3954,MICb,3,>128,2025-12-20_22:00:59
829,1-6,3,I76NS_241P1,Escherichia coli ATCC 25922 = CCM 3954,gentamicin,1,-,2025-12-20_22:00:59
830,1-6,4,I76NS_241P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MIC,1,>128,2025-12-20_22:00:59
831,1-6,4,I76NS_241P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MIC,2,>128,2025-12-20_22:00:59
832,1-6,4,I76NS_241P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MIC,3,>128,2025-12-20_22:00:59
833,1-6,4,I76NS_241P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MBC,1,>128,2025-12-20_22:00:59
834,1-6,4,I76NS_241P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MBC,2,>128,2025-12-20_22:00:59
835,1-6,4,I76NS_241P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MBC,3,>128,2025-12-20_22:00:59
836,1-6,4,I76NS_241P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MICb,1,>128,2025-12-20_22:00:59
837,1-6,4,I76NS_241P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MICb,2,>128,2025-12-20_22:00:59
838,1-6,4,I76NS_241P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MICb,3,>128,2025-12-20_22:00:59
839,1-6,4,I76NS_241P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,gentamicin,1,-,2025-12-20_22:00:59
840,1-6,5,I76NS_241P1,Staphylococcus epidermidis CCM 7221,MIC,1,>128,2025-12-20_22:00:59
841,1-6,5,I76NS_241P1,Staphylococcus epidermidis CCM 7221,MIC,2,>128,2025-12-20_22:00:59
842,1-6,5,I76NS_241P1,Staphylococcus epidermidis CCM 7221,MIC,3,>128,2025-12-20_22:00:59
843,1-6,5,I76NS_241P1,Staphylococcus epidermidis CCM 7221,MBC,1,>128,2025-12-20_22:00:59
844,1-6,5,I76NS_241P1,Staphylococcus epidermidis CCM 7221,MBC,2,>128,2025-12-20_22:00:59
845,1-6,5,I76NS_241P1,Staphylococcus epidermidis CCM 7221,MBC,3,>128,2025-12-20_22:00:59
846,1-6,5,I76NS_241P1,Staphylococcus epidermidis CCM 7221,MICb,1,-,2025-12-20_22:00:59
847,1-6,5,I76NS_241P1,Staphylococcus epidermidis CCM 7221,MICb,2,-,2025-12-20_22:00:59
848,1-6,5,I76NS_241P1,Staphylococcus epidermidis CCM 7221,MICb,3,-,2025-12-20_22:00:59
849,1-6,5,I76NS_241P1,Staphylococcus epidermidis CCM 7221,gentamicin,1,-,2025-12-20_22:00:59
850,1-6,6,I76NS_241P1,Staphylococcus aureus 4591,MIC,1,>128,2025-12-20_22:00:59
851,1-6,6,I76NS_241P1,Staphylococcus aureus 4591,MIC,2,>128,2025-12-20_22:00:59
852,1-6,6,I76NS_241P1,Staphylococcus aureus 4591,MIC,3,>128,2025-12-20_22:00:59
853,1-6,6,I76NS_241P1,Staphylococcus aureus 4591,MBC,1,>128,2025-12-20_22:00:59
854,1-6,6,I76NS_241P1,Staphylococcus aureus 4591,MBC,2,>128,2025-12-20_22:00:59
855,1-6,6,I76NS_241P1,Staphylococcus aureus 4591,MBC,3,>128,2025-12-20_22:00:59
856,1-6,6,I76NS_241P1,Staphylococcus aureus 4591,MICb,1,-,2025-12-20_22:00:59
857,1-6,6,I76NS_241P1,Staphylococcus aureus 4591,MICb,2,-,2025-12-20_22:00:59
858,1-6,6,I76NS_241P1,Staphylococcus aureus 4591,MICb,3,-,2025-12-20_22:00:59
859,1-6,6,I76NS_241P1,Staphylococcus aureus 4591,gentamicin,1,-,2025-12-20_22:00:59
860,1-6,7,I76NS_241P1,Enterococcus faecium 419/ANA ,MIC,1,>128,2025-12-20_22:00:59
861,1-6,7,I76NS_241P1,Enterococcus faecium 419/ANA ,MIC,2,>128,2025-12-20_22:00:59
862,1-6,7,I76NS_241P1,Enterococcus faecium 419/ANA ,MIC,3,>128,2025-12-20_22:00:59
863,1-6,7,I76NS_241P1,Enterococcus faecium 419/ANA ,MBC,1,>128,2025-12-20_22:00:59
864,1-6,7,I76NS_241P1,Enterococcus faecium 419/ANA ,MBC,2,>128,2025-12-20_22:00:59
865,1-6,7,I76NS_241P1,Enterococcus faecium 419/ANA ,MBC,3,>128,2025-12-20_22:00:59
866,1-6,7,I76NS_241P1,Enterococcus faecium 419/ANA ,MICb,1,-,2025-12-20_22:00:59
867,1-6,7,I76NS_241P1,Enterococcus faecium 419/ANA ,MICb,2,-,2025-12-20_22:00:59
868,1-6,7,I76NS_241P1,Enterococcus faecium 419/ANA ,MICb,3,-,2025-12-20_22:00:59
869,1-6,7,I76NS_241P1,Enterococcus faecium 419/ANA ,gentamicin,1,-,2025-12-20_22:00:59
870,1-6,8,I76NS_241P1,Escherichia coli CE5556 ,MIC,1,>128,2025-12-20_22:00:59
871,1-6,8,I76NS_241P1,Escherichia coli CE5556 ,MIC,2,>128,2025-12-20_22:00:59
872,1-6,8,I76NS_241P1,Escherichia coli CE5556 ,MIC,3,>128,2025-12-20_22:00:59
873,1-6,8,I76NS_241P1,Escherichia coli CE5556 ,MBC,1,>128,2025-12-20_22:00:59
874,1-6,8,I76NS_241P1,Escherichia coli CE5556 ,MBC,2,>128,2025-12-20_22:00:59
875,1-6,8,I76NS_241P1,Escherichia coli CE5556 ,MBC,3,>128,2025-12-20_22:00:59
876,1-6,8,I76NS_241P1,Escherichia coli CE5556 ,MICb,1,-,2025-12-20_22:00:59
877,1-6,8,I76NS_241P1,Escherichia coli CE5556 ,MICb,2,-,2025-12-20_22:00:59
878,1-6,8,I76NS_241P1,Escherichia coli CE5556 ,MICb,3,-,2025-12-20_22:00:59
879,1-6,8,I76NS_241P1,Escherichia coli CE5556 ,gentamicin,1,-,2025-12-20_22:00:59
880,1-6,9,I76NS_241P1,Escherichia coli 20574/C,MIC,1,>128,2025-12-20_22:00:59
881,1-6,9,I76NS_241P1,Escherichia coli 20574/C,MIC,2,>128,2025-12-20_22:00:59
882,1-6,9,I76NS_241P1,Escherichia coli 20574/C,MIC,3,>128,2025-12-20_22:00:59
883,1-6,9,I76NS_241P1,Escherichia coli 20574/C,MBC,1,>128,2025-12-20_22:00:59
884,1-6,9,I76NS_241P1,Escherichia coli 20574/C,MBC,2,>128,2025-12-20_22:00:59
885,1-6,9,I76NS_241P1,Escherichia coli 20574/C,MBC,3,>128,2025-12-20_22:00:59
886,1-6,9,I76NS_241P1,Escherichia coli 20574/C,MICb,1,-,2025-12-20_22:00:59
887,1-6,9,I76NS_241P1,Escherichia coli 20574/C,MICb,2,-,2025-12-20_22:00:59
888,1-6,9,I76NS_241P1,Escherichia coli 20574/C,MICb,3,-,2025-12-20_22:00:59
889,1-6,9,I76NS_241P1,Escherichia coli 20574/C,gentamicin,1,-,2025-12-20_22:00:59
890,1-6,10,I76NS_241P1,Pseudomonas aeruginosa R,MIC,1,>128,2025-12-20_22:00:59
891,1-6,10,I76NS_241P1,Pseudomonas aeruginosa R,MIC,2,>128,2025-12-20_22:00:59
892,1-6,10,I76NS_241P1,Pseudomonas aeruginosa R,MIC,3,>128,2025-12-20_22:00:59
893,1-6,10,I76NS_241P1,Pseudomonas aeruginosa R,MBC,1,>128,2025-12-20_22:00:59
894,1-6,10,I76NS_241P1,Pseudomonas aeruginosa R,MBC,2,>128,2025-12-20_22:00:59
895,1-6,10,I76NS_241P1,Pseudomonas aeruginosa R,MBC,3,>128,2025-12-20_22:00:59
896,1-6,10,I76NS_241P1,Pseudomonas aeruginosa R,MICb,1,-,2025-12-20_22:00:59
897,1-6,10,I76NS_241P1,Pseudomonas aeruginosa R,MICb,2,-,2025-12-20_22:00:59
898,1-6,10,I76NS_241P1,Pseudomonas aeruginosa R,MICb,3,-,2025-12-20_22:00:59
899,1-6,10,I76NS_241P1,Pseudomonas aeruginosa R,gentamicin,1,-,2025-12-20_22:00:59
900,1-6,11,I76NS_241P1,Proteus mirabilis 16585/B,MIC,1,>128,2025-12-20_22:00:59
901,1-6,11,I76NS_241P1,Proteus mirabilis 16585/B,MIC,2,>128,2025-12-20_22:00:59
902,1-6,11,I76NS_241P1,Proteus mirabilis 16585/B,MIC,3,>128,2025-12-20_22:00:59
903,1-6,11,I76NS_241P1,Proteus mirabilis 16585/B,MBC,1,>128,2025-12-20_22:00:59
904,1-6,11,I76NS_241P1,Proteus mirabilis 16585/B,MBC,2,>128,2025-12-20_22:00:59
905,1-6,11,I76NS_241P1,Proteus mirabilis 16585/B,MBC,3,>128,2025-12-20_22:00:59
906,1-6,11,I76NS_241P1,Proteus mirabilis 16585/B,MICb,1,-,2025-12-20_22:00:59
907,1-6,11,I76NS_241P1,Proteus mirabilis 16585/B,MICb,2,-,2025-12-20_22:00:59
908,1-6,11,I76NS_241P1,Proteus mirabilis 16585/B,MICb,3,-,2025-12-20_22:00:59
909,1-6,11,I76NS_241P1,Proteus mirabilis 16585/B,gentamicin,1,-,2025-12-20_22:00:59
910,1-6,12,I76NS_241P1,Escherichia coli NCTC 13846 = CCM 8874 (COL R),MIC,1,>128,2025-12-20_22:00:59
911,1-6,12,I76NS_241P1,Escherichia coli NCTC 13846 = CCM 8874 (COL R),MIC,2,>128,2025-12-20_22:00:59
912,1-6,12,I76NS_241P1,Escherichia coli NCTC 13846 = CCM 8874 (COL R),MIC,3,>128,2025-12-20_22:00:59
913,1-6,12,I76NS_241P1,Escherichia coli NCTC 13846 = CCM 8874 (COL R),MBC,1,>128,2025-12-20_22:00:59
914,1-6,12,I76NS_241P1,Escherichia coli NCTC 13846 = CCM 8874 (COL R),MBC,2,>128,2025-12-20_22:00:59
915,1-6,12,I76NS_241P1,Escherichia coli NCTC 13846 = CCM 8874 (COL R),MBC,3,>128,2025-12-20_22:00:59
916,1-6,12,I76NS_241P1,Escherichia coli NCTC 13846 = CCM 8874 (COL R),MICb,1,-,2025-12-20_22:00:59
917,1-6,12,I76NS_241P1,Escherichia coli NCTC 13846 = CCM 8874 (COL R),MICb,2,-,2025-12-20_22:00:59
918,1-6,12,I76NS_241P1,Escherichia coli NCTC 13846 = CCM 8874 (COL R),MICb,3,-,2025-12-20_22:00:59
919,1-6,12,I76NS_241P1,Escherichia coli NCTC 13846 = CCM 8874 (COL R),gentamicin,1,-,2025-12-20_22:00:59
920,1-6,13,I76NS_241P1,Klebsiella pneumoniae NCTC 13438 (KPC-3),MIC,1,>128,2025-12-20_22:00:59
921,1-6,13,I76NS_241P1,Klebsiella pneumoniae NCTC 13438 (KPC-3),MIC,2,>128,2025-12-20_22:00:59
922,1-6,13,I76NS_241P1,Klebsiella pneumoniae NCTC 13438 (KPC-3),MIC,3,>128,2025-12-20_22:00:59
923,1-6,13,I76NS_241P1,Klebsiella pneumoniae NCTC 13438 (KPC-3),MBC,1,>128,2025-12-20_22:00:59
924,1-6,13,I76NS_241P1,Klebsiella pneumoniae NCTC 13438 (KPC-3),MBC,2,>128,2025-12-20_22:00:59
925,1-6,13,I76NS_241P1,Klebsiella pneumoniae NCTC 13438 (KPC-3),MBC,3,>128,2025-12-20_22:00:59
926,1-6,13,I76NS_241P1,Klebsiella pneumoniae NCTC 13438 (KPC-3),MICb,1,-,2025-12-20_22:00:59
927,1-6,13,I76NS_241P1,Klebsiella pneumoniae NCTC 13438 (KPC-3),MICb,2,-,2025-12-20_22:00:59
928,1-6,13,I76NS_241P1,Klebsiella pneumoniae NCTC 13438 (KPC-3),MICb,3,-,2025-12-20_22:00:59
929,1-6,13,I76NS_241P1,Klebsiella pneumoniae NCTC 13438 (KPC-3),gentamicin,1,-,2025-12-20_22:00:59
930,1-6,14,I76NS_241P1,Klebsiella pneumoniae NCTC 13443 (NDM-1),MIC,1,>128,2025-12-20_22:00:59
931,1-6,14,I76NS_241P1,Klebsiella pneumoniae NCTC 13443 (NDM-1),MIC,2,>128,2025-12-20_22:00:59
932,1-6,14,I76NS_241P1,Klebsiella pneumoniae NCTC 13443 (NDM-1),MIC,3,>128,2025-12-20_22:00:59
933,1-6,14,I76NS_241P1,Klebsiella pneumoniae NCTC 13443 (NDM-1),MBC,1,>128,2025-12-20_22:00:59
934,1-6,14,I76NS_241P1,Klebsiella pneumoniae NCTC 13443 (NDM-1),MBC,2,>128,2025-12-20_22:00:59
935,1-6,14,I76NS_241P1,Klebsiella pneumoniae NCTC 13443 (NDM-1),MBC,3,>128,2025-12-20_22:00:59
936,1-6,14,I76NS_241P1,Klebsiella pneumoniae NCTC 13443 (NDM-1),MICb,1,-,2025-12-20_22:00:59
937,1-6,14,I76NS_241P1,Klebsiella pneumoniae NCTC 13443 (NDM-1),MICb,2,-,2025-12-20_22:00:59
938,1-6,14,I76NS_241P1,Klebsiella pneumoniae NCTC 13443 (NDM-1),MICb,3,-,2025-12-20_22:00:59
939,1-6,14,I76NS_241P1,Klebsiella pneumoniae NCTC 13443 (NDM-1),gentamicin,1,-,2025-12-20_22:00:59
940,1-6,15,I76NS_241P1,Acinetobacter baumannii NCTC 13301 (OXA-23 + OXA-51-like),MIC,1,>128,2025-12-20_22:00:59
941,1-6,15,I76NS_241P1,Acinetobacter baumannii NCTC 13301 (OXA-23 + OXA-51-like),MIC,2,>128,2025-12-20_22:00:59
942,1-6,15,I76NS_241P1,Acinetobacter baumannii NCTC 13301 (OXA-23 + OXA-51-like),MIC,3,>128,2025-12-20_22:00:59
943,1-6,15,I76NS_241P1,Acinetobacter baumannii NCTC 13301 (OXA-23 + OXA-51-like),MBC,1,>128,2025-12-20_22:00:59
944,1-6,15,I76NS_241P1,Acinetobacter baumannii NCTC 13301 (OXA-23 + OXA-51-like),MBC,2,>128,2025-12-20_22:00:59
945,1-6,15,I76NS_241P1,Acinetobacter baumannii NCTC 13301 (OXA-23 + OXA-51-like),MBC,3,>128,2025-12-20_22:00:59
946,1-6,15,I76NS_241P1,Acinetobacter baumannii NCTC 13301 (OXA-23 + OXA-51-like),MICb,1,-,2025-12-20_22:00:59
947,1-6,15,I76NS_241P1,Acinetobacter baumannii NCTC 13301 (OXA-23 + OXA-51-like),MICb,2,-,2025-12-20_22:00:59
948,1-6,15,I76NS_241P1,Acinetobacter baumannii NCTC 13301 (OXA-23 + OXA-51-like),MICb,3,-,2025-12-20_22:00:59
949,1-6,15,I76NS_241P1,Acinetobacter baumannii NCTC 13301 (OXA-23 + OXA-51-like),gentamicin,1,-,2025-12-20_22:00:59
950,25-30,1,I76NS_259P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MIC,1,4,2025-12-20_22:00:59
951,25-30,1,I76NS_259P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MIC,2,4,2025-12-20_22:00:59
952,25-30,1,I76NS_259P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MIC,3,4,2025-12-20_22:00:59
953,25-30,1,I76NS_259P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MBC,1,4,2025-12-20_22:00:59
954,25-30,1,I76NS_259P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MBC,2,4,2025-12-20_22:00:59
955,25-30,1,I76NS_259P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MBC,3,4,2025-12-20_22:00:59
956,25-30,1,I76NS_259P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MICb,1,64,2025-12-20_22:00:59
957,25-30,1,I76NS_259P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MICb,2,64,2025-12-20_22:00:59
958,25-30,1,I76NS_259P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MICb,3,64,2025-12-20_22:00:59
959,25-30,1,I76NS_259P1,Staphylococcus aureus ATCC 29213 = CCM 4223,gentamicin,1,0.5,2025-12-20_22:00:59
960,25-30,2,I76NS_259P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MIC,1,64,2025-12-20_22:00:59
961,25-30,2,I76NS_259P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MIC,2,64,2025-12-20_22:00:59
962,25-30,2,I76NS_259P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MIC,3,64,2025-12-20_22:00:59
963,25-30,2,I76NS_259P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MBC,1,64,2025-12-20_22:00:59
964,25-30,2,I76NS_259P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MBC,2,64,2025-12-20_22:00:59
965,25-30,2,I76NS_259P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MBC,3,128,2025-12-20_22:00:59
966,25-30,2,I76NS_259P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MICb,1,>128,2025-12-20_22:00:59
967,25-30,2,I76NS_259P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MICb,2,>128,2025-12-20_22:00:59
968,25-30,2,I76NS_259P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MICb,3,>128,2025-12-20_22:00:59
969,25-30,2,I76NS_259P1,Enterococcus faecalis ATCC 29212 = CCM 4224,gentamicin,1,1,2025-12-20_22:00:59
970,25-30,3,I76NS_259P1,Escherichia coli ATCC 25922 = CCM 3954,MIC,1,8,2025-12-20_22:00:59
971,25-30,3,I76NS_259P1,Escherichia coli ATCC 25922 = CCM 3954,MIC,2,8,2025-12-20_22:00:59
972,25-30,3,I76NS_259P1,Escherichia coli ATCC 25922 = CCM 3954,MIC,3,8,2025-12-20_22:00:59
973,25-30,3,I76NS_259P1,Escherichia coli ATCC 25922 = CCM 3954,MBC,1,8,2025-12-20_22:00:59
974,25-30,3,I76NS_259P1,Escherichia coli ATCC 25922 = CCM 3954,MBC,2,8,2025-12-20_22:00:59
975,25-30,3,I76NS_259P1,Escherichia coli ATCC 25922 = CCM 3954,MBC,3,16,2025-12-20_22:00:59
976,25-30,3,I76NS_259P1,Escherichia coli ATCC 25922 = CCM 3954,MICb,1,>128,2025-12-20_22:00:59
977,25-30,3,I76NS_259P1,Escherichia coli ATCC 25922 = CCM 3954,MICb,2,>128,2025-12-20_22:00:59
978,25-30,3,I76NS_259P1,Escherichia coli ATCC 25922 = CCM 3954,MICb,3,>128,2025-12-20_22:00:59
979,25-30,3,I76NS_259P1,Escherichia coli ATCC 25922 = CCM 3954,gentamicin,1,-,2025-12-20_22:00:59
980,25-30,4,I76NS_259P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MIC,1,64,2025-12-20_22:00:59
981,25-30,4,I76NS_259P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MIC,2,64,2025-12-20_22:00:59
982,25-30,4,I76NS_259P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MIC,3,128,2025-12-20_22:00:59
983,25-30,4,I76NS_259P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MBC,1,64,2025-12-20_22:00:59
984,25-30,4,I76NS_259P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MBC,2,128,2025-12-20_22:00:59
985,25-30,4,I76NS_259P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MBC,3,128,2025-12-20_22:00:59
986,25-30,4,I76NS_259P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MICb,1,>128,2025-12-20_22:00:59
987,25-30,4,I76NS_259P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MICb,2,>128,2025-12-20_22:00:59
988,25-30,4,I76NS_259P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,MICb,3,>128,2025-12-20_22:00:59
989,25-30,4,I76NS_259P1,Pseudomonas aeruginosa ATCC 27853 = CCM 3955,gentamicin,1,-,2025-12-20_22:00:59
990,25-30,5,I76NS_259P1,Staphylococcus epidermidis CCM 7221,MIC,1,1,2025-12-20_22:00:59
991,25-30,5,I76NS_259P1,Staphylococcus epidermidis CCM 7221,MIC,2,1,2025-12-20_22:00:59
992,25-30,5,I76NS_259P1,Staphylococcus epidermidis CCM 7221,MIC,3,1,2025-12-20_22:00:59
993,25-30,5,I76NS_259P1,Staphylococcus epidermidis CCM 7221,MBC,1,1,2025-12-20_22:00:59
994,25-30,5,I76NS_259P1,Staphylococcus epidermidis CCM 7221,MBC,2,2,2025-12-20_22:00:59
995,25-30,5,I76NS_259P1,Staphylococcus epidermidis CCM 7221,MBC,3,2,2025-12-20_22:00:59
996,25-30,5,I76NS_259P1,Staphylococcus epidermidis CCM 7221,MICb,1,-,2025-12-20_22:00:59
997,25-30,5,I76NS_259P1,Staphylococcus epidermidis CCM 7221,MICb,2,-,2025-12-20_22:00:59
998,25-30,5,I76NS_259P1,Staphylococcus epidermidis CCM 7221,MICb,3,-,2025-12-20_22:00:59
999,25-30,5,I76NS_259P1,Staphylococcus epidermidis CCM 7221,gentamicin,1,-,2025-12-20_22:00:59
1000,25-30,6,I76NS_259P1,Staphylococcus aureus 4591,MIC,1,2,2025-12-20_22:00:59
1001,25-30,6,I76NS_259P1,Staphylococcus aureus 4591,MIC,2,2,2025-12-20_22:00:59
1002,25-30,6,I76NS_259P1,Staphylococcus aureus 4591,MIC,3,2,2025-12-20_22:00:59
1003,25-30,6,I76NS_259P1,Staphylococcus aureus 4591,MBC,1,2,2025-12-20_22:00:59
1004,25-30,6,I76NS_259P1,Staphylococcus aureus 4591,MBC,2,2,2025-12-20_22:00:59
1005,25-30,6,I76NS_259P1,Staphylococcus aureus 4591,MBC,3,2,2025-12-20_22:00:59
1006,25-30,6,I76NS_259P1,Staphylococcus aureus 4591,MICb,1,-,2025-12-20_22:00:59
1007,25-30,6,I76NS_259P1,Staphylococcus aureus 4591,MICb,2,-,2025-12-20_22:00:59
1008,25-30,6,I76NS_259P1,Staphylococcus aureus 4591,MICb,3,-,2025-12-20_22:00:59
1009,25-30,6,I76NS_259P1,Staphylococcus aureus 4591,gentamicin,1,-,2025-12-20_22:00:59
1010,25-30,7,I76NS_259P1,Enterococcus faecium 419/ANA ,MIC,1,32,2025-12-20_22:00:59
1011,25-30,7,I76NS_259P1,Enterococcus faecium 419/ANA ,MIC,2,32,2025-12-20_22:00:59
1012,25-30,7,I76NS_259P1,Enterococcus faecium 419/ANA ,MIC,3,64,2025-12-20_22:00:59
1013,25-30,7,I76NS_259P1,Enterococcus faecium 419/ANA ,MBC,1,64,2025-12-20_22:00:59
1014,25-30,7,I76NS_259P1,Enterococcus faecium 419/ANA ,MBC,2,64,2025-12-20_22:00:59
1015,25-30,7,I76NS_259P1,Enterococcus faecium 419/ANA ,MBC,3,64,2025-12-20_22:00:59
1016,25-30,7,I76NS_259P1,Enterococcus faecium 419/ANA ,MICb,1,-,2025-12-20_22:00:59
1017,25-30,7,I76NS_259P1,Enterococcus faecium 419/ANA ,MICb,2,-,2025-12-20_22:00:59
1018,25-30,7,I76NS_259P1,Enterococcus faecium 419/ANA ,MICb,3,-,2025-12-20_22:00:59
1019,25-30,7,I76NS_259P1,Enterococcus faecium 419/ANA ,gentamicin,1,-,2025-12-20_22:00:59
1020,25-30,8,I76NS_259P1,Escherichia coli CE5556 ,MIC,1,16,2025-12-20_22:00:59
1021,25-30,8,I76NS_259P1,Escherichia coli CE5556 ,MIC,2,16,2025-12-20_22:00:59
1022,25-30,8,I76NS_259P1,Escherichia coli CE5556 ,MIC,3,16,2025-12-20_22:00:59
1023,25-30,8,I76NS_259P1,Escherichia coli CE5556 ,MBC,1,32,2025-12-20_22:00:59
1024,25-30,8,I76NS_259P1,Escherichia coli CE5556 ,MBC,2,64,2025-12-20_22:00:59
1025,25-30,8,I76NS_259P1,Escherichia coli CE5556 ,MBC,3,64,2025-12-20_22:00:59
1026,25-30,8,I76NS_259P1,Escherichia coli CE5556 ,MICb,1,-,2025-12-20_22:00:59
1027,25-30,8,I76NS_259P1,Escherichia coli CE5556 ,MICb,2,-,2025-12-20_22:00:59
1028,25-30,8,I76NS_259P1,Escherichia coli CE5556 ,MICb,3,-,2025-12-20_22:00:59
